Reference,Subfamily,Species,Lat,Long,Habitat,Location,N_Temps,T_C,T_K,Birth_Rate,Source,Fecundity,Source,Egg_Dev,Source,Development,Source,Egg_Mortality,Source,Juv_Mortality,Source,Egg_Survival,Source,Survivorship,Stages,Source,Egg_Duration,Source,Juv_Duration,Stages,Source,Gen_Time,Stages,Source,Adult_Mortality,Source,Adult_Duration,Sex,Source,R0,Source,r,Source,Notes
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,27.5,301,3.101,Calculated,91.8,Table 2,,,0.043,Calculated,,,0.044,Calculated,,,0.36,Egg_to_Adult,Table 1,,,23.1,Egg_to_Adult,Table 1,35.7,Egg_to_Repro,Table 3,0.034,Calculated,29.6,Female,Table 2,12.7,Table 3,0.0752,Table 3,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,30,303,2.800,Calculated,50.4,Table 2,,,0.048,Calculated,,,0.058,Calculated,,,0.30,Egg_to_Adult,Table 1,,,20.7,Egg_to_Adult,Table 1,30.2,Egg_to_Repro,Table 3,0.056,Calculated,18.0,Female,Table 2,5.3,Table 3,0.0566,Table 3,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,17,290,4.4,Table 4,111.3,Table 4,,,0.020,Calculated,,,0.009,Calculated,,,0.636,Egg_to_Adult,Table 3,,,49.4,Egg_to_Adult,Table 1,61.5,Egg_to_Repro,Table 5,0.025,Calculated,39.4,Female,Table 4,35.7,Table 5,0.0581,Table 5,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,18,291,3.7,Table 4,73.6,Table 4,,,0.024,Calculated,,,0.008,Calculated,,,0.727,Egg_to_Adult,Table 3,,,41.8,Egg_to_Adult,Table 1,49.2,Egg_to_Repro,Table 5,0.029,Calculated,34.7,Female,Table 4,27.5,Table 5,0.0673,Table 5,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,21,294,5.0,Table 4,72.8,Table 4,,,,,,,,,,,,,,,,,,,36.2,Egg_to_Repro,Table 5,0.041,Calculated,24.5,Female,Table 4,30.4,Table 5,0.0942,Table 5,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,25,298,6.4,Table 4,125.7,Table 4,,,0.044,Calculated,,,0.002,Calculated,,,0.944,Egg_to_Adult,Table 3,,,22.9,Egg_to_Adult,Table 1,28.5,Egg_to_Repro,Table 5,0.038,Calculated,26.3,Female,Table 4,59.4,Table 5,0.1434,Table 5,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,27,300,8.8,Table 4,174.7,Table 4,,,0.048,Calculated,,,0.008,Calculated,,,0.853,Egg_to_Adult,Table 3,,,20.8,Egg_to_Adult,Table 1,25.7,Egg_to_Repro,Table 5,0.036,Calculated,27.8,Female,Table 4,74.5,Table 5,0.1674,Table 5,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,30,303,9.5,Table 4,110.8,Table 4,,,0.053,Calculated,,,0.006,Calculated,,,0.886,Egg_to_Adult,Table 3,,,18.8,Egg_to_Adult,Table 1,21,Egg_to_Repro,Table 5,0.057,Calculated,17.6,Female,Table 4,49.1,Table 5,0.1852,Table 5,
Ugine 2012,Heteroptera,Lygus lineolaris,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,32,305,7.0,Table 4,77.3,Table 4,,,0.057,Calculated,,,0.008,Calculated,,,0.871,Egg_to_Adult,Table 3,,,17.4,Egg_to_Adult,Table 1,21.3,Egg_to_Repro,Table 5,0.056,Calculated,17.7,Female,Table 4,33.7,Table 5,0.1650,Table 5,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. unshiu,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,14.9,288.1,1.12,Calculated,53.90,Table 1,,,0.063,Calculated,,,0.001,Calculated,,,0.98,N1_to_Repro,Table 1,,,15.96,N1_to_Repro,Table 1,21.7,N1_to_Repro,Table 1,0.021,Calculated,48,Female,Table 1,52.83,Calculated,0.1818,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. unshiu,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,20.1,293.3,2.06,Calculated,58.46,Table 1,,,0.123,Calculated,,,0.002,Calculated,,,0.98,N1_to_Repro,Table 1,,,8.1,N1_to_Repro,Table 1,11.2,N1_to_Repro,Table 1,0.035,Calculated,28.43,Female,Table 1,57.30,Calculated,0.3628,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. unshiu,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,24.9,298.1,3.06,Calculated,68.24,Table 1,,,0.158,Calculated,,,0.011,Calculated,,,0.93,N1_to_Repro,Table 1,,,6.33,N1_to_Repro,Table 1,8.9,N1_to_Repro,Table 1,0.045,Calculated,22.29,Female,Table 1,63.62,Calculated,0.4670,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. unshiu,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,27.6,300.8,3.80,Calculated,55.31,Table 1,,,0.162,Calculated,,,0.028,Calculated,,,0.84,N1_to_Repro,Table 1,,,6.19,N1_to_Repro,Table 1,8.53,N1_to_Repro,Table 1,0.069,Calculated,14.57,Female,Table 1,47.10,Calculated,0.4492,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. unshiu,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,29.7,302.9,0.00,Calculated,0.00,Table 1,,,0.000,Calculated,,,0.000,Calculated,,,0,N1_to_Repro,Table 1,,,,,,,,,0.122,Calculated,8.18,Female,Table 1,0.00,Calculated,0.0000,Calculated,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. aurantium,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,11.3,284.5,0.41,Calculated,29.51,Table 1,,,0.029,Calculated,,,0.005,Calculated,,,0.85,N1_to_Repro,Table 2,,,34.65,N1_to_Repro,Table 2,43.3,N1_to_Repro,Table 2,0.014,Calculated,71.79,Female,Table 2,25.38,Calculated,0.0717,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. aurantium,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,15.2,288.4,1.04,Calculated,51.94,Table 1,,,0.052,Calculated,,,0.008,Calculated,,,0.86,N1_to_Repro,Table 2,,,19.22,N1_to_Repro,Table 2,27.1,N1_to_Repro,Table 2,0.020,Calculated,49.87,Female,Table 2,45.13,Calculated,0.1382,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. aurantium,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,19.9,293.1,1.86,Calculated,47.82,Table 1,,,0.078,Calculated,,,0.019,Calculated,,,0.78,N1_to_Repro,Table 2,,,12.87,N1_to_Repro,Table 2,18.7,N1_to_Repro,Table 2,0.039,Calculated,25.76,Female,Table 2,38.30,Calculated,0.1958,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. aurantium,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,21.5,294.7,2.36,Calculated,55.64,Table 1,,,0.114,Calculated,,,0.011,Calculated,,,0.91,N1_to_Repro,Table 2,,,8.77,N1_to_Repro,Table 2,12.3,N1_to_Repro,Table 2,0.042,Calculated,23.56,Female,Table 2,50.84,Calculated,0.3208,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. aurantium,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,25.1,298.3,2.31,Calculated,40.40,Table 1,,,0.131,Calculated,,,0.021,Calculated,,,0.85,N1_to_Repro,Table 2,,,7.66,N1_to_Repro,Table 2,11.3,N1_to_Repro,Table 2,0.057,Calculated,17.48,Female,Table 2,34.75,Calculated,0.3182,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. aurantium,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,27.1,300.3,2.92,Calculated,40.53,Table 1,,,0.154,Calculated,,,0.016,Calculated,,,0.9,N1_to_Repro,Table 2,,,6.49,N1_to_Repro,Table 2,9.16,N1_to_Repro,Table 2,0.072,Calculated,13.87,Female,Table 2,36.67,Calculated,0.4266,Figure 1,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on C. aurantium,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,29.9,303.1,0.35,Calculated,3.01,Table 1,,,0.136,Calculated,,,0.069,Calculated,,,0.6,N1_to_Repro,Table 2,,,7.37,N1_to_Repro,Table 2,8.35,N1_to_Repro,Table 2,0.116,Calculated,8.61,Female,Table 2,1.99,Calculated,0.1638,Figure 1,
Komazaki 1982,Sternorrhyncha,Aphis citricola,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,14.7,287.9,0.88,Calculated,54.24,Table 3,,,0.067,Calculated,,,0.003,Calculated,,,0.95,N1_to_Repro,Table 3,,,14.95,N1_to_Repro,Table 3,22.1,N1_to_Repro,Table 3,0.016,Calculated,61.71,Female,Table 3,51.59,Calculated,0.1792,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis citricola,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,19.5,292.7,1.95,Calculated,64.43,Table 3,,,0.104,Calculated,,,0.006,Calculated,,,0.94,N1_to_Repro,Table 3,,,9.59,N1_to_Repro,Table 3,14.8,N1_to_Repro,Table 3,0.030,Calculated,33.06,Female,Table 3,60.68,Calculated,0.2766,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis citricola,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,25.1,298.3,2.41,Calculated,36.58,Table 3,,,0.180,Calculated,,,0.036,Calculated,,,0.82,N1_to_Repro,Table 3,,,5.56,N1_to_Repro,Table 3,8.21,N1_to_Repro,Table 3,0.066,Calculated,15.16,Female,Table 3,30.52,Calculated,0.4198,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis citricola,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,27.2,300.4,2.03,Calculated,26.06,Table 3,,,0.182,Calculated,,,0.013,Calculated,,,0.93,N1_to_Repro,Table 3,,,5.5,N1_to_Repro,Table 3,7.39,N1_to_Repro,Table 3,0.078,Calculated,12.85,Female,Table 3,24.30,Calculated,0.4365,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis citricola,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,29.5,302.7,0.60,Calculated,6.48,Table 3,,,0.159,Calculated,,,0.068,Calculated,,,0.65,N1_to_Repro,Table 3,,,6.29,N1_to_Repro,Table 3,7.73,N1_to_Repro,Table 3,0.092,Calculated,10.84,Female,Table 3,4.53,Calculated,0.2264,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis citricola,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,30.1,303.3,0.11,Calculated,1.25,Table 3,,,0.147,Calculated,,,0.146,Calculated,,,0.37,N1_to_Repro,Table 3,,,6.82,N1_to_Repro,Table 3,7.3,N1_to_Repro,Table 3,0.090,Calculated,11.16,Female,Table 3,0.63,Calculated,-0.0005,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,15.2,288.4,1.05,Calculated,52.94,Table 4,,,0.071,Calculated,,,0.007,Calculated,,,0.9,N1_to_Repro,Table 4,,,14.17,N1_to_Repro,Table 4,22.51,N1_to_Repro,Table 4,0.020,Calculated,50.47,Female,Table 4,47.89,Calculated,0.1716,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,19.8,293.0,1.91,Calculated,63.57,Table 4,,,0.132,Calculated,,,0.012,Calculated,,,0.91,N1_to_Repro,Table 4,,,7.57,N1_to_Repro,Table 4,12.05,N1_to_Repro,Table 4,0.030,Calculated,33.23,Female,Table 4,58.09,Calculated,0.3391,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,24.5,297.7,1.40,Calculated,25.78,Table 4,,,0.144,Calculated,,,0.015,Calculated,,,0.9,N1_to_Repro,Table 4,,,6.93,N1_to_Repro,Table 4,10.49,N1_to_Repro,Table 4,0.054,Calculated,18.45,Female,Table 4,23.32,Calculated,0.3025,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,27.5,300.7,1.40,Calculated,13.44,Table 4,,,0.145,Calculated,,,0.082,Calculated,,,0.57,N1_to_Repro,Table 4,,,6.88,N1_to_Repro,Table 4,9.79,N1_to_Repro,Table 4,0.104,Calculated,9.6,Female,Table 4,8.60,Calculated,0.2218,Figure 2,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,29.7,302.9,0.51,Calculated,4.60,Table 4,,,0.162,Calculated,,,0.083,Calculated,,,0.6,N1_to_Repro,Table 4,,,6.17,N1_to_Repro,Table 4,7.4,N1_to_Repro,Table 4,0.112,Calculated,8.94,Female,Table 4,3.04,Calculated,0.1609,Figure 2,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho,54.02,-0.97,Temperate,"UK, York on pea fields",5,11.9,285,,,,,,,0.062,Calculated,,,0.016,Calculated,,,0.77,N1_to_Repro,Table 2,,,16.2,N1_to_Adult,Table 1,21.2,N1_to_Repro,Table 4,0.076,Calculated,13.2,Female,Table 3,,,,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho,54.02,-0.97,Temperate,"UK, York on pea fields",5,16.6,290,,,,,,,0.095,Calculated,,,0.000,Calculated,,,1,N1_to_Repro,Table 2,,,10.5,N1_to_Adult,Table 1,14.1,N1_to_Repro,Table 4,0.092,Calculated,10.9,Female,Table 3,,,,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho,54.02,-0.97,Temperate,"UK, York on pea fields",5,19.6,293,,,,,,,0.110,Calculated,,,0.000,Calculated,,,1,N1_to_Repro,Table 2,,,9.1,N1_to_Adult,Table 1,13.3,N1_to_Repro,Table 4,0.083,Calculated,12.1,Female,Table 3,,,,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho,54.02,-0.97,Temperate,"UK, York on pea fields",5,23.1,296,,,,,,,0.119,Calculated,,,0.218,Calculated,,,0.16,N1_to_Repro,Table 2,,,8.4,N1_to_Adult,Table 1,11.1,N1_to_Repro,Table 4,0.093,Calculated,10.7,Female,Table 3,,,,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho,54.02,-0.97,Temperate,"UK, York on pea fields",5,26.7,300,,,,,,,0.114,Calculated,,,0.287,Calculated,,,0.08,N1_to_Repro,Table 2,,,8.8,N1_to_Adult,Table 1,11.9,N1_to_Repro,Table 4,0.112,Calculated,8.9,Female,Table 3,,,,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Scout,54.02,-0.97,Temperate,"UK, York on pea fields",5,11.9,285,,,,,,,0.060,Calculated,,,0.078,Calculated,,,0.27,N1_to_Repro,Table 2,,,16.8,N1_to_Adult,Table 1,20,N1_to_Repro,Table 4,0.132,Calculated,7.6,Female,Table 3,,,,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Scout,54.02,-0.97,Temperate,"UK, York on pea fields",5,16.6,290,,,,,,,0.087,Calculated,,,0.154,Calculated,,,0.17,N1_to_Repro,Table 2,,,11.5,N1_to_Adult,Table 1,18.5,N1_to_Repro,Table 4,0.070,Calculated,14.3,Female,Table 3,,,,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Scout,54.02,-0.97,Temperate,"UK, York on pea fields",5,19.6,293,,,,,,,0.101,Calculated,,,0.072,Calculated,,,0.49,N1_to_Repro,Table 2,,,9.9,N1_to_Adult,Table 1,13.5,N1_to_Repro,Table 4,0.101,Calculated,9.9,Female,Table 3,,,,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Scout,54.02,-0.97,Temperate,"UK, York on pea fields",5,23.1,296,,,,,,,0.116,Calculated,,,0.280,Calculated,,,0.09,N1_to_Repro,Table 2,,,8.6,N1_to_Adult,Table 1,9.3,N1_to_Repro,Table 4,0.156,Calculated,6.4,Female,Table 3,,,,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Scout,54.02,-0.97,Temperate,"UK, York on pea fields",5,26.7,300,,,,,,,0.118,Calculated,,,0.542,Calculated,,,0.01,N1_to_Repro,Table 2,,,8.5,N1_to_Adult,Table 1,9,N1_to_Repro,Table 4,0.333,Calculated,3,Female,Table 3,,,,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifolii,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,15,288,,,,,,,0.010,Calculated,,,0.009,Calculated,,,0.398,Egg_to_Adult,Table 3,,,104.9,Egg_to_Adult,Table 1,,,,,,,,,,,,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifolii,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,20,293,,,,,,,0.034,Calculated,,,0.015,Calculated,,,0.648,Egg_to_Adult,Table 3,,,29.8,Egg_to_Adult,Table 1,45.7,Egg_to_Senescence,Table 5,0.023,Calculated,44.36,Female,Table 4,,,,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifolii,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,25,298,,,,,,,0.057,Calculated,,,0.007,Calculated,,,0.887,Egg_to_Adult,Table 3,,,17.6,Egg_to_Adult,Table 1,25.6,Egg_to_Senescence,Table 5,0.042,Calculated,24.03,Female,Table 4,,,,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifolii,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,27,300,,,,,,,0.063,Calculated,,,0.026,Calculated,,,0.657,Egg_to_Adult,Table 3,,,16,Egg_to_Adult,Table 1,22.9,Egg_to_Senescence,Table 5,0.056,Calculated,17.87,Female,Table 4,,,,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifolii,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,30,303,,,,,,,0.074,Calculated,,,0.039,Calculated,,,0.592,Egg_to_Adult,Table 3,,,13.6,Egg_to_Adult,Table 1,18.4,Egg_to_Senescence,Table 5,0.079,Calculated,12.73,Female,Table 4,,,,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifolii,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,35,308,,,,,,,0.053,Calculated,,,0.053,Calculated,,,0.368,Egg_to_Adult,Table 3,,,18.8,Egg_to_Adult,Table 1,23,Egg_to_Senescence,Table 5,0.096,Calculated,10.43,Female,Table 4,,,,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,15,288,,,,,,,0.048,Calculated,,,0.010,Calculated,,,0.8074,N1_to_Adult,Table 3,,,20.7,N1_to_Adult,Table 1,32.3,N1_to_Scenescence,Table 5,0.034,Calculated,29.73,Female,Table 4,,,,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,20,293,,,,,,,0.088,Calculated,,,0.015,Calculated,,,0.8466,N1_to_Adult,Table 3,,,11.3,N1_to_Adult,Table 1,19.2,N1_to_Scenescence,Table 5,0.041,Calculated,24.43,Female,Table 4,,,,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,25,298,,,,,,,0.156,Calculated,,,0.016,Calculated,,,0.9023,N1_to_Adult,Table 3,,,6.4,N1_to_Adult,Table 1,11.3,N1_to_Scenescence,Table 5,0.054,Calculated,18.41,Female,Table 4,,,,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,27,300,,,,,,,0.208,Calculated,,,0.066,Calculated,,,0.7272,N1_to_Adult,Table 3,,,4.8,N1_to_Adult,Table 1,,N1_to_Scenescence,Table 5,,,,Female,Table 4,,,,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,30,303,,,,,,,0.227,Calculated,,,0.146,Calculated,,,0.527,N1_to_Adult,Table 3,,,4.4,N1_to_Adult,Table 1,8.7,N1_to_Scenescence,Table 5,0.076,Calculated,13.1,Female,Table 4,,,,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,35,308,,,,,,,0,Calculated,,,1,Calculated,,,0,N1_to_Adult,Table 3,,,,,,7.78,N1_to_Scenescence,Table 5,0.106,Calculated,9.42,Female,Table 4,,,,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,10,283,,,,,,,0.029,Calculated,,,0.056,Calculated,,,0.152,N1_to_Adult,Table 2,,,33.9,N1_to_Adult,Table 1,40.3,N1_to_Scenescence,Table 4,,,,Female,Table 3,,,,,"Adult_Duration was 13.1 at 10C, removed for fitting purposes"
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,15,288,,,,,,,0.062,Calculated,,,0.008,Calculated,,,0.875,N1_to_Adult,Table 2,,,16.1,N1_to_Adult,Table 1,25.2,N1_to_Scenescence,Table 4,0.033,Calculated,30.2,Female,Table 3,,,,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,20,293,,,,,,,0.100,Calculated,,,0.039,Calculated,,,0.675,N1_to_Adult,Table 2,,,10,N1_to_Adult,Table 1,17.8,N1_to_Scenescence,Table 4,0.038,Calculated,26.3,Female,Table 3,,,,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,25,298,,,,,,,0.128,Calculated,,,0.065,Calculated,,,0.6,N1_to_Adult,Table 2,,,7.8,N1_to_Adult,Table 1,12.7,N1_to_Scenescence,Table 4,0.060,Calculated,16.6,Female,Table 3,,,,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,27,300,,,,,,,0.167,Calculated,,,0.054,Calculated,,,0.725,N1_to_Adult,Table 2,,,6,N1_to_Adult,Table 1,10.6,N1_to_Scenescence,Table 4,0.068,Calculated,14.6,Female,Table 3,,,,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,30,303,,,,,,,0.175,Calculated,,,0.069,Calculated,,,0.675,N1_to_Adult,Table 2,,,5.7,N1_to_Adult,Table 1,9.2,N1_to_Scenescence,Table 4,0.119,Calculated,8.4,Female,Table 3,,,,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,35,308,,,,,,,0.152,Calculated,,,0.149,Calculated,,,0.375,N1_to_Adult,Table 2,,,6.6,N1_to_Adult,Table 1,8.3,N1_to_Scenescence,Table 4,0.143,Calculated,7,Female,Table 3,,,,,
Liu & Tsai 2000,Sternorrhyncha,Diaphorina citri,26.24,-80.12,Sub-tropical,"USA, Pompano Beach, FL, on orange jessamine",7,10,283,,,,,,,0,Calculated,,,1,Calculated,,,0,Egg_to_Adult,Table 2,,,,,,,,,,,,,,,,,,
Liu & Tsai 2000,Sternorrhyncha,Diaphorina citri,26.24,-80.12,Sub-tropical,"USA, Pompano Beach, FL, on orange jessamine",7,15,288,,,,,,,0.020,Calculated,,,0.010,Calculated,,,0.619,Egg_to_Adult,Table 2,,,49.34,Egg_to_Adult,Table 1,116.8,Egg_to_Senescence,Table 5,0.011,Calculated,88.3,Female,Table 4,,,,,
Liu & Tsai 2000,Sternorrhyncha,Diaphorina citri,26.24,-80.12,Sub-tropical,"USA, Pompano Beach, FL, on orange jessamine",7,20,293,,,,,,,0.035,Calculated,,,0.012,Calculated,,,0.698,Egg_to_Adult,Table 2,,,28.79,Egg_to_Adult,Table 1,55.8,Egg_to_Senescence,Table 5,0.020,Calculated,50.6,Female,Table 4,,,,,
Liu & Tsai 2000,Sternorrhyncha,Diaphorina citri,26.24,-80.12,Sub-tropical,"USA, Pompano Beach, FL, on orange jessamine",7,25,298,,,,,,,0.059,Calculated,,,0.017,Calculated,,,0.754,Egg_to_Adult,Table 2,,,16.97,Egg_to_Adult,Table 1,33.9,Egg_to_Senescence,Table 5,0.025,Calculated,39.7,Female,Table 4,,,,,
Liu & Tsai 2000,Sternorrhyncha,Diaphorina citri,26.24,-80.12,Sub-tropical,"USA, Pompano Beach, FL, on orange jessamine",7,28,301,,,,,,,0.071,Calculated,,,0.012,Calculated,,,0.839,Egg_to_Adult,Table 2,,,14.06,Egg_to_Adult,Table 1,28.6,Egg_to_Senescence,Table 5,0.029,Calculated,34.7,Female,Table 4,,,,,
Liu & Tsai 2000,Sternorrhyncha,Diaphorina citri,26.24,-80.12,Sub-tropical,"USA, Pompano Beach, FL, on orange jessamine",7,30,303,,,,,,,0.061,Calculated,,,0.019,Calculated,,,0.737,Egg_to_Adult,Table 2,,,16.29,Egg_to_Adult,Table 1,37.2,Egg_to_Senescence,Table 5,0.030,Calculated,33.5,Female,Table 4,,,,,
Liu & Tsai 2000,Sternorrhyncha,Diaphorina citri,26.24,-80.12,Sub-tropical,"USA, Pompano Beach, FL, on orange jessamine",7,33,306,,,,,,,0,Calculated,,,1,Calculated,,,0,Egg_to_Adult,Table 2,,,,,,,,,0.035,Calculated,28.7,Female,Table 4,,,,,
Asante et al 1991,Sternorrhyncha,Eriosoma lanigerum,-30.9,115.78,Sub-tropical,"Australia, Northern New South Wales, from apple orchards",7,10,283,,,,,,,0.017,Calculated,,,,No survival data,,,,,,,,57.84,N1_to_Adult,Table 1,86.18,N1_to_Scenescence,Table 5,0.017,Calculated,58.77,Female,Table 3,,,,,
